series,strategy,threshold_quantile,is_skab_setting,f1,precision,recall,event_f1,event_precision,event_recall,n_true_events,n_detected_events,alarm_rate,flag_everything_f1,n_adaptations,n_steps,seconds
ambient_temperature_system_failure,static,0.7,False,0.28861003861003864,0.17495611468695144,0.8236914600550964,0.29780876494023906,0.17495611468695144,1.0,2,2,0.5453965214616244,0.20763620763620763,0,6267,0.19
ambient_temperature_system_failure,online-no-reset,0.7,False,0.19337848006019562,0.13302277432712215,0.35399449035812675,0.2348104157149383,0.13302277432712215,1.0,2,2,0.30828147438966014,0.20763620763620763,0,6267,0.6
ambient_temperature_system_failure,periodic,0.7,False,0.2527267890396382,0.15661061655126937,0.6542699724517906,0.2708095781071836,0.15661061655126937,1.0,2,2,0.48396361895643847,0.20763620763620763,6,6267,0.97
ambient_temperature_system_failure,drift-triggered,0.7,False,0.22214285714285714,0.14995178399228543,0.4283746556473829,0.26079664570230604,0.14995178399228543,1.0,2,2,0.33093984362533907,0.20763620763620763,17,6267,2.34
ambient_temperature_system_failure,static,0.8,False,0.3072205185391692,0.19259000349528138,0.7589531680440771,0.32297772567409144,0.19259000349528138,1.0,2,2,0.45651827030477105,0.20763620763620763,0,6267,0.18
ambient_temperature_system_failure,online-no-reset,0.8,False,0.13155473781048757,0.09875690607734806,0.19696969696969696,0.16493656286043828,0.09875690607734806,0.5,2,1,0.23105153981171214,0.20763620763620763,0,6267,0.56
ambient_temperature_system_failure,periodic,0.8,False,0.24689863842662632,0.15820085304381543,0.5619834710743802,0.2731837964512889,0.15820085304381543,1.0,2,2,0.411520663794479,0.20763620763620763,6,6267,1.01
ambient_temperature_system_failure,drift-triggered,0.8,False,0.2057335581787521,0.14823815309842042,0.33608815426997246,0.2582010582010582,0.14823815309842042,1.0,2,2,0.2626456039572363,0.20763620763620763,17,6267,2.28
ambient_temperature_system_failure,static,0.9,False,0.3411167512690355,0.22611036339165544,0.6942148760330579,0.36882546652030734,0.22611036339165544,1.0,2,2,0.3556725706079464,0.20763620763620763,0,6267,0.17
ambient_temperature_system_failure,online-no-reset,0.9,False,0.11715481171548119,0.10348468848996832,0.1349862258953168,0.1714785651793526,0.10348468848996832,0.5,2,1,0.151108983564704,0.20763620763620763,0,6267,0.54
